t	0000ul_dec	0000ul_irf	0000ul_fit	0000ul_res	0250ul_dec	0250ul_irf	0250ul_fit	0250ul_res	0500ul_dec	0500ul_irf	0500ul_fit	0500ul_res	0750ul_dec	0750ul_irf	0750ul_fit	0750ul_res	1000ul_dec	1000ul_irf	1000ul_fit	1000ul_res
22.606	9512	172.889	9757.76	2.52408	9294	172.889	9493.83	2.07542	9005	172.889	9241.54	2.48641	8929	167.816	9244.5	3.32305	8674	170.835	8824.25	1.61485
22.661	9439	140.056	9727.37	2.9629	9126	140.056	9457.62	3.45237	8872	140.056	9199.65	3.45108	9031	141.008	9194.51	1.72686	8456	139.951	8757.02	3.24242
22.716	9254	159.977	9703.87	4.63358	9216	159.977	9429.28	2.22135	8978	159.977	9166.33	1.98991	9029	158.636	9152.18	1.30464	8529	159.823	8700.1	1.8484
22.771	9596	130.141	9673.43	0.79703	9268	130.141	9393.16	1.3054	9033	130.141	9124.68	0.96903	8962	123.052	9100.45	1.46807	8739	126.446	8632.64	-1.15092
22.826	9466	103.038	9641.89	1.81198	9177	103.038	9356.03	1.87133	9093	103.038	9082.11	-0.11545	8912	98.9415	9049.29	1.4599	8401	100.976	8565.56	1.7885
22.881	9403	83.9691	9610.26	2.13636	9038	83.9691	9319.01	2.94064	8833	83.9691	9039.81	2.19522	8743	80.696	8998.22	2.7159	8520	82.2999	8499.08	-0.22773
22.936	9586	71.9837	9578.84	-0.07391	9371	71.9837	9282.38	-0.92835	8986	71.9837	8998.02	0.12762	8825	71.4045	8948.21	1.31493	8463	71.6202	8433.87	-0.31801
22.99	9290	68.9453	9548.33	2.66971	9016	68.9453	9246.86	2.42248	8818	68.9453	8957.5	1.48484	8706	66.4596	8898.84	2.06364	8355	67.8126	8370.12	0.16548
23.045	9257	58.0218	9516.47	2.6878	8870	58.0218	9209.88	3.57798	8410	58.0218	8915.49	5.39311	8452	59.3945	8849.04	4.26095	8056	58.5045	8305.39	2.74204
23.1	9418	66.0545	9487.21	0.71743	9107	66.0545	9175.9	0.72594	8852	66.0545	8876.74	0.26454	8820	63.2272	8801.32	-0.20083	8434	64.9543	8244.25	-2.09185
23.155	9133	42.1055	9453.28	3.3281	8952	42.1055	9136.7	1.95071	8829	42.1055	8832.46	0.03705	8575	39.1877	8748.52	1.87043	8043	40.4259	8176.88	1.48355
23.21	9120	36.0102	9421.05	3.13469	8935	36.0102	9099.58	1.74333	8587	36.0102	8790.51	2.1889	8594	34.4663	8698.52	1.12993	8101	35.3313	8113.05	0.13406
23.265	9200	28	9388.28	1.96482	8747	28	9061.93	3.33792	8659	28	8748.06	0.95989	8519	28.5196	8648.3	1.40029	8077	28.1209	8048.96	-0.31333
23.32	9356	32.9969	9357.31	0.01374	9027	32.9969	9026.36	-0.00685	8755	32.9969	8707.89	-0.50812	8617	32.0151	8599.92	-0.18522	8008	32.6534	7987.63	-0.22812
23.374	8990	26.0068	9324.77	3.50821	8662	26.0068	8989.03	3.48688	8482	26.0068	8665.87	1.98879	8345	27.0039	8550.33	2.23533	7754	26.3301	7924.58	1.92262
23.429	9246	35.0215	9294.58	0.50908	8898	35.0215	8954.38	0.60253	8405	35.0215	8626.76	2.40472	8376	34.9152	8503.32	1.38858	7928	35.1295	7865.11	-0.71101
23.484	8927	29.0421	9262.53	3.52336	8920	29.0421	8917.65	-0.02518	8500	29.0421	8585.45	0.92712	8435	28.5427	8454.19	0.2099	7695	28.6959	7803.15	1.22918
23.539	8891	28.0433	9231.09	3.57414	8490	28.0433	8881.65	4.19834	8306	28.0433	8544.97	2.59872	8242	26.381	8405.82	1.79528	7723	27.314	7742.46	0.222
