t	chcl3_dec	chcl3_irf	chcl3_fit	chcl3_res	etoh_dec	etoh_irf	etoh_fit	etoh_res	h2o_dec	h2o_irf	h2o_fit	h2o_res	iproh_dec	iproh_irf	iproh_fit	iproh_res
6.80384	3	2E-5	0.74414	-1.74738	1	2E-5	0.71547	-0.28453	1	0	0.47765	-0.52235	1	0	0.64023	-0.35977
6.85871	1	0	0.73289	-0.2069	0	0	0.70378	0.70378	2	2E-5	0.46329	-1.53671	0	0	0.63046	0.63046
6.91358	1	3.1E-4	0.72185	-0.21546	1	2.6E-4	0.6923	-0.29191	0	0	0.44936	0.44936	1	0	0.62084	-0.37916
6.96845	1	0	0.71092	-0.20441	2	0	0.68099	-1.31901	0	3.1E-4	0.43588	0.43588	0	0	0.61136	0.61136
7.02332	1	0.00426	0.70065	-0.20081	2	0.00362	0.67012	-1.26164	0	0	0.42277	0.42277	2	0	0.60202	-1.39798
7.07819	2	0	0.68982	-0.90173	0	0	0.65912	0.6253	1	0.00426	0.41044	-0.58956	1	0	0.59283	-0.40717
7.13306	1	0.05931	0.686	-0.21611	1	0.05036	0.65182	-0.33031	1	0	0.39801	-0.60199	1	0	0.58378	-0.41622
7.18793	7	0	0.67231	-4.24474	0	0	0.64054	0.64054	2	0.05931	0.3913	-1.6087	2	0	0.57487	-1.42513
7.2428	3	1.07602	0.7821	-1.45196	3	0.82941	0.68709	-2.31291	1	0	0.37829	-0.62171	0	0	0.5661	0.5661
7.29767	2	1.79225	0.90983	-0.6414	1	1.91029	0.79681	-0.20319	0	1.07602	0.46226	0.46226	1	2	0.73549	-0.26451
7.35254	1	0.37999	0.83811	-0.09347	0	0.48144	0.79304	0.79304	0	1.79225	0.5846	0.5846	1	1	0.74677	-0.25323
7.40741	2	0	0.80416	-0.67798	0	0	0.77408	0.77408	0	0.37999	0.56312	0.56312	1	0	0.70212	-0.29788
7.46228	2	0.61878	0.86099	-0.6975	0	0.4868	0.79489	0.79489	1	0	0.53822	-0.46178	0	0	0.6914	0.6914
7.51715	6	0.58709	0.87878	-3.20355	2	0.71286	0.82483	-1.17517	1	0.61878	0.57687	-0.42313	2	1	0.76986	-1.23014
7.57202	3	0	0.83263	-1.32724	1	0	0.80246	-0.19754	0	0.58709	0.59857	0.59857	1	0	0.72486	-0.26102
7.62689	2	0	0.82004	-0.72257	0	0	0.78935	0.78935	0	0	0.56827	0.56827	1	0	0.71379	-0.28621
7.68176	3	0.59141	0.87357	-1.27586	1	0.45804	0.80794	-0.19206	0	0	0.55118	0.55118	1	0	0.7029	-0.2971
7.73663	2	0.60292	0.89447	-0.66332	1	0.72778	0.83905	-0.16095	1	0.59141	0.58701	-0.41299	1	1	0.78118	-0.21882
7.7915	3	0	0.8472	-1.40934	0	0	0.81626	0.81626	0	0.60292	0.61039	0.61039	2	0	0.736	-1.264
7.84637	1	0.03449	0.83824	-0.11438	0	0.03689	0.80546	0.80546	0	0	0.5794	0.5794	0	0	0.72477	0.72477
7.90124	3	0	0.82363	-1.45995	2	0	0.79184	-1.20816	0	0.03449	0.56503	0.56503	0	0	0.7137	0.7137
7.95611	2	0.00493	0.81173	-0.79711	1	0.00473	0.77923	-0.22077	0	0	0.54732	0.54732	1	0	0.70281	-0.29719
8.01097	2	0	0.79919	-0.78612	1	0	0.76644	-0.23356	1	0.00493	0.53131	-0.46869	2	0	0.69208	-1.30792
8.06584	0	0.03449	0.79095	0.53059	1	0.02933	0.75594	-0.24406	2	0	0.51523	-1.48477	1	0	0.68151	-0.31849
8.12071	4	0	0.77706	-2.16201	1	0	0.74323	-0.2436	0	0.03449	0.50279	0.50279	0	0	0.67111	0.67111
8.17558	3	0.60294	0.83253	-1.57707	1	0.46985	0.76338	-0.23662	1	0	0.48696	-0.51304	0	0	0.66086	0.66086
8.23045	3	0.59134	0.85211	-1.56282	0	0.71741	0.79435	0.75359	0	0.60294	0.52574	0.52574	1	1	0.73979	-0.26021
8.28532	2	0	0.80613	-0.86867	1	0	0.77242	-0.20585	1	0.59134	0.54969	-0.45031	1	0	0.69525	-0.30475
8.34019	1	0	0.79394	-0.1349	2	0	0.75981	-1.17655	1	0	0.52076	-0.47924	0	0	0.68463	0.68463
8.39506	0	0.59068	0.84779	0.58349	1	0.4574	0.77883	-0.22117	0	0	0.50511	0.50511	0	0	0.67418	0.67418
8.44993	2	0.60538	0.86939	-0.79946	2	0.72988	0.81057	-1.12839	0	0.59068	0.54226	0.54226	0	1	0.75291	0.75291
8.5048	2	0	0.82236	-0.83272	2	0	0.78822	-1.00826	0	0.60538	0.56721	0.56721	0	0	0.70816	0.70816
8.55967	4	0.06845	0.81756	-2.19031	0	0.06573	0.77986	0.64888	0	0	0.53747	0.53747	2	0	0.69735	-1.30265
8.61454	2	0	0.80137	-0.80407	0	0	0.7663	0.6376	1	0.06845	0.52737	-0.47263	0	0	0.6867	0.6867
8.66941	2	0.60295	0.85647	-0.71533	2	0.47039	0.78611	-1.05126	1	0	0.51008	-0.48992	0	0	0.67622	0.67622
8.72428	3	0.59982	0.87663	-1.39007	3	0.72446	0.8172	-1.97442	0	0.60295	0.54817	0.54817	0	1	0.75492	0.75492
8.77915	3	0	0.8298	-1.42073	1	0	0.79481	-0.1777	1	0.59982	0.5722	-0.4278	0	0	0.71014	0.71014
8.83402	2	0.03404	0.82105	-0.83364	2	0.03647	0.78433	-1.0115	0	0	0.54242	0.54242	0	0	0.6993	0.6993
8.88889	3	0	0.80673	-1.64495	0	0	0.77106	0.64156	1	0.03404	0.52913	-0.47087	0	0	0.68862	0.68862
8.94376	0	0.00179	0.79474	0.6156	1	0.00206	0.75861	-0.20905	1	0	0.51251	-0.48749	1	0	0.67811	-0.32189
8.99863	2	0.0018	0.78283	-1.01275	3	0.00138	0.74628	-2.25372	1	0.00179	0.49726	-0.50274	1	0	0.66776	-0.31519
9.0535	1	0	0.77089	-0.19063	1	0	0.73408	-0.26592	1	0.0018	0.48243	-0.51757	1	0	0.65756	-0.30975
9.10837	0	0.03409	0.76304	0.63489	0	0.02894	0.72407	0.65495	0	0	0.46789	0.46789	4	0	0.64752	-2.90333
9.16324	1	0	0.7496	-0.2265	1	0	0.71189	-0.26061	0	0.03409	0.45684	0.45684	0	0	0.63764	0.55221
9.21811	1	0.60048	0.8052	-0.16208	0	0.46775	0.73241	0.66249	0	0	0.44239	0.44239	3	0	0.6279	-2.14564
9.27298	3	0.60048	0.82636	-1.74279	1	0.72517	0.76445	-0.23555	1	0.60048	0.4823	-0.5177	1	1	0.70734	-0.27765
9.32785	2	0	0.78025	-0.94482	4	0	0.74291	-3.25709	1	0.60048	0.50841	-0.49159	1	0	0.66328	-0.33672
9.38272	1	0.03413	0.77226	-0.15277	0	0.03655	0.73329	0.73329	1	0	0.48054	-0.51946	0	0	0.65316	0.65316
9.43759	2	0	0.75867	-0.85434	1	0	0.72085	-0.26482	0	0.03413	0.46912	0.46912	0	0	0.64319	0.64319
9.49246	3	0.0024	0.74747	-1.51104	0	0.00258	0.70925	0.61423	2	0	0.4543	-1.5457	0	0	0.63337	0.63337
9.54733	2	0	0.73604	-0.89376	0	0	0.69764	0.63104	1	0.0024	0.44085	-0.55915	0	0	0.6237	0.6237
9.6022	5	0	0.72491	-3.11058	1	0	0.68624	-0.29766	0	0	0.42755	0.42755	2	0	0.61418	-1.38582
9.65707	0	0.0024	0.71422	0.50503	3	0.00203	0.67517	-2.20553	1	0	0.41469	-0.58531	2	0	0.6048	-1.3952
9.71194	2	0	0.70329	-0.97253	2	0	0.66411	-1.33589	0	0.0024	0.40244	0.40244	1	0	0.59557	-0.40443
9.7668	1	0.03413	0.69647	-0.22765	0	0.02898	0.65526	0.62163	0	0	0.39029	0.39029	0	0	0.58648	0.58648
9.82167	1	0	0.68403	-0.24475	3	0	0.64419	-1.88885	0	0.03413	0.38158	0.38158	0	0	0.57752	0.57752
9.87654	2	0.60047	0.74062	-1.04786	0	0.46774	0.66582	0.53384	1	0	0.36939	-0.63061	1	0	0.56871	-0.43129
9.93141	0	0.60053	0.76276	0.61157	0	0.72521	0.69895	0.58156	1	0.60047	0.41149	-0.58851	1	1	0.64904	-0.35096
9.98628	3	0	0.71761	-1.76793	1	0	0.67848	-0.26752	1	0.60053	0.43974	-0.56026	0	0	0.60588	0.60588
10.0412	1	0.03408	0.71056	-0.21708	4	0.03649	0.66991	-2.57948	0	0	0.41393	0.41393	0	0	0.59663	0.59663
10.096	3	0	0.69791	-1.62782	1	0	0.65851	-0.26452	0	0.03408	0.40451	0.40451	0	0	0.58752	0.58752
10.1509	1	0.00247	0.68764	-0.22087	2	0.00264	0.64793	-1.04731	2	0	0.39163	-1.60837	1	0	0.57855	-0.42145
10.2058	3	0	0.6771	-1.55825	2	0	0.63732	-1.02201	0	0.00247	0.38008	0.38008	1	0	0.56972	-0.43028
10.2606	2	3.8E-4	0.66691	-0.91749	2	3.6E-4	0.62693	-1.0298	0	0	0.3686	0.3686	1	0	0.56102	-0.43898
10.3155	3	0	0.65681	-1.57186	3	0	0.61668	-1.9109	1	3.8E-4	0.35755	-0.64245	0	0	0.55246	0.55246
10.3704	2	0.00281	0.64719	-0.86526	0	0.00239	0.60677	0.4865	0	0	0.34679	0.34679	1	0	0.54403	-0.45597
10.4252	2	0	0.63725	-0.89213	1	0	0.59683	-0.33545	1	0.00281	0.33661	-0.66339	0	0	0.53572	0.53572
10.4801	2	0.03906	0.63197	-0.9177	1	0.03317	0.58936	-0.35562	1	0	0.32644	-0.67356	2	0	0.52754	-1.47246
10.535	2	0	0.62023	-0.8825	2	0	0.57932	-1.28505	0	0.03906	0.32008	0.32008	0	0	0.51949	0.51949
10.5899	5	0.6677	0.68529	-2.96959	1	0.52486	0.60593	-0.35645	2	0	0.30964	-1.69036	0	0	0.51156	0.51156
10.6447	0	0.34845	0.6764	0.44281	1	0.51125	0.62462	-0.33954	0	0.6677	0.35949	0.35949	0	1	0.59277	0.59277
10.6996	2	1.06453	0.76534	-0.78969	1	0.79139	0.66243	-0.32024	1	0.34845	0.36556	-0.63444	2	0	0.55046	-1.37515
10.7545	4	1.27036	0.83579	-2.02384	1	1.51666	0.74598	-0.24099	1	1.06453	0.44159	-0.55841	2	2	0.7201	-1.2799
10.8093	0	0	0.75204	0.50448	3	0	0.71487	-2.16787	1	1.27036	0.51855	-0.48145	1	0	0.6426	-0.3574
