t	000dec	irf	000fit	000res	025dec	025fit	025res	050dec	050fit	050res	075dec	075fit	075res	100dec	100fit	100res
26.2826	7836.00	0.00000	7662.71	-1.97682	7338.00	7136.98	-2.37788	6714.00	6622.83	-1.11770	6287.00	6170.76	-1.47553	5227.00	5090.96	-1.90310
26.3375	7607.00	0.00000	7635.99	0.330690	7103.00	7107.31	0.0510000	6610.00	6590.61	-0.237990	6032.00	6134.30	1.30246	4991.00	5049.66	0.822970
26.3923	7471.00	0.00000	7609.38	1.58237	6886.00	7077.77	2.27992	6489.00	6558.57	0.855050	6069.00	6098.08	0.371370	4877.00	5008.72	1.85671
26.4472	7646.00	0.00000	7582.87	-0.723070	7057.00	7048.37	-0.102770	6681.00	6526.69	-1.90098	6071.00	6062.08	-0.114100	4992.00	4968.14	-0.337310
26.5021	7641.00	0.00000	7556.47	-0.968150	7023.00	7019.11	-0.0463500	6667.00	6494.99	-2.12575	6214.00	6026.32	-2.40540	5163.00	4927.91	-3.33030
26.5569	7611.00	0.00000	7530.17	-0.927610	7053.00	6989.98	-0.753320	6500.00	6463.45	-0.452890	6022.00	5990.78	-0.401320	4884.00	4888.03	0.0572200
26.6118	7701.00	0.00000	7503.97	-2.26381	7011.00	6960.99	-0.599460	6565.00	6432.08	-1.65076	6104.00	5955.48	-1.91264	4961.00	4848.49	-1.60599
26.6667	7632.00	0.00000	7477.88	-1.77236	6991.00	6932.13	-0.705890	6539.00	6400.87	-1.71681	6078.00	5920.39	-2.03519	4999.00	4809.29	-2.70915
26.7215	7464.00	0.00000	7451.89	-0.139520	6875.00	6903.40	0.340850	6166.00	6369.83	2.53937	5914.00	5885.53	-0.368400	4754.00	4770.43	0.235320
26.7764	7563.00	0.00000	7426.00	-1.58350	6981.00	6874.80	-1.27611	6407.00	6338.96	-0.849650	5948.00	5850.89	-1.26341	4941.00	4731.91	-3.01137
26.8313	7444.00	0.00000	7400.21	-0.507890	6766.00	6846.33	0.967850	6340.00	6308.25	-0.397710	5852.00	5816.48	-0.463560	4602.00	4693.72	1.32305
26.8861	7353.00	0.00000	7374.52	0.250000	6850.00	6817.99	-0.385620	6392.00	6277.70	-1.43391	5772.00	5782.28	0.134510	4836.00	4655.86	-2.60512
26.9410	7429.00	0.00000	7348.93	-0.933160	6910.00	6789.78	-1.45010	6413.00	6247.31	-2.08627	5840.00	5748.30	-1.20546	4749.00	4618.33	-1.89913
26.9959	7174.00	0.00000	7323.44	1.74499	6900.00	6761.70	-1.67110	6394.00	6217.08	-2.22585	5638.00	5714.53	1.00840	4663.00	4581.12	-1.19161
27.0508	7157.00	0.00000	7298.04	1.64662	6713.00	6733.75	0.250900	6149.00	6187.02	0.478010	5708.00	5680.98	-0.356730	4749.00	4544.23	-2.99244
27.1056	7448.00	0.00000	7272.75	-2.04813	7024.00	6705.93	-3.84843	6387.00	6157.11	-2.89487	5794.00	5647.64	-1.93415	4740.00	4507.66	-3.39829
27.1605	7238.00	0.00000	7247.56	0.111850	6837.00	6678.23	-1.92520	6118.00	6127.36	0.118150	5619.00	5614.52	-0.0594500	4575.00	4471.40	-1.52347
27.2154	7197.00	0.00000	7222.46	0.297520	6659.00	6650.66	-0.101290	6257.00	6097.76	-2.01488	5668.00	5581.60	-1.14823	4641.00	4435.46	-3.03153
27.2702	7594.00	0.00000	7197.46	-4.63174	6910.00	6623.21	-3.49030	6476.00	6068.32	-5.18161	5739.00	5548.89	-2.52773	4588.00	4399.83	-2.78662
27.3251	7303.00	0.00000	7172.55	-1.52351	6676.00	6595.89	-0.976210	6173.00	6039.04	-1.70329	5755.00	5516.40	-3.17955	4529.00	4364.50	-2.45448
27.3800	7156.00	0.00000	7147.74	-0.0967700	6582.00	6568.69	-0.162870	6061.00	6009.91	-0.652290	5405.00	5484.10	1.05687	4382.00	4329.48	-0.788640
27.4348	7630.00	0.00000	7123.03	-5.94370	6746.00	6541.62	-2.50580	6199.00	5980.93	-2.78572	5630.00	5452.01	-2.38126	4505.00	4294.76	-3.17145
27.4897	7245.00	0.00000	7098.42	-1.71996	6616.00	6514.67	-1.24551	5892.00	5952.10	0.771360	5588.00	5420.13	-2.25469	4330.00	4260.33	-1.05634
27.5446	7170.00	0.00000	7073.89	-1.13310	6557.00	6487.84	-0.854230	6109.00	5923.43	-2.39643	5486.00	5388.44	-1.31493	4135.00	4226.21	1.38890
27.5995	6965.00	0.00000	7049.46	0.999530	6495.00	6461.13	-0.419020	5934.00	5894.91	-0.506500	5526.00	5356.96	-2.29227	4232.00	4192.37	-0.606720
27.6543	7217.00	0.00000	7025.13	-2.27609	6632.00	6434.54	-2.44876	6051.00	5866.53	-2.39466	5485.00	5325.67	-2.16343	4210.00	4158.83	-0.786980
27.7092	7091.00	0.00000	7000.89	-1.07591	6359.00	6408.08	0.611060	5748.00	5838.31	1.17870	5279.00	5294.58	0.212260	4233.00	4125.58	-1.66392
27.7641	6970.00	0.00000	6976.74	0.0806000	6334.00	6381.73	0.595380	5800.00	5810.23	0.133760	5388.00	5263.69	-1.69908	4256.00	4092.61	-2.53940
27.8189	6823.00	0.00000	6952.68	1.55756	6484.00	6355.50	-1.60849	5821.00	5782.30	-0.507930	5158.00	5233.00	1.02895	4107.00	4059.92	-0.733340
27.8738	6845.00	0.00000	6928.72	1.00656	6296.00	6329.39	0.418740	5852.00	5754.52	-1.28316	5274.00	5202.49	-0.984690	4039.00	4027.52	-0.179480
27.9287	6808.00	0.00000	6904.85	1.16764	6278.00	6303.40	0.319610	5624.00	5726.88	1.35902	5328.00	5172.18	-2.15043	3970.00	3995.39	0.398520
27.9835	7020.00	0.00000	6881.06	-1.67845	6402.00	6277.52	-1.56914	5707.00	5699.38	-0.100810	5250.00	5142.06	-1.49294	4078.00	3963.53	-1.80346
28.0384	6651.00	0.00000	6857.37	2.49680	6160.00	6251.76	1.15780	5710.00	5672.03	-0.502750	5123.00	5112.13	-0.150710	3967.00	3931.95	-0.554950
28.0933	6835.00	0.00000	6833.77	-0.0148400	6277.00	6226.12	-0.644660	5633.00	5644.82	0.156980	5177.00	5082.39	-1.31430	3992.00	3900.65	-1.45164
28.1482	6871.00	0.00000	6810.26	-0.735520	6235.00	6200.59	-0.436550	5678.00	5617.76	-0.802370	5276.00	5052.84	-3.11210	3882.00	3869.60	-0.197730
28.2030	6844.00	0.00000	6786.84	-0.691440	6173.00	6175.18	0.0276500	5569.00	5590.83	0.291170	5070.00	5023.47	-0.651630	3965.00	3838.83	-2.01688
28.2579	6790.00	0.00000	6763.51	-0.321340	6227.00	6149.88	-0.982600	5740.00	5564.05	-2.35151	5145.00	4994.28	-2.11903	3891.00	3808.32	-1.32659
28.3128	6865.00	0.00000	6740.26	-1.51122	6019.00	6124.69	1.34591	5533.00	5537.40	0.0588300	4993.00	4965.28	-0.390510	3860.00	3778.07	-1.32012
